source,key,date_added,en,sv,da,de,es,fr,is,it,no,pl,zh
,rename_list,,"Rename list","Byt namn på lista","Omdøb liste","Liste umbenennen","Renombrar lista","Renommer la liste","Endurnefna lista","Rinomina lista","Gi nytt navn til liste","Zmień nazwę listy",重命名列表
,replace_existing_pdf,,"⚠️ Replace existing PDF?","⚠️ Ersätt befintlig PDF?","⚠️ Erstat eksisterende PDF?","⚠️ Vorhandenes PDF ersetzen?","⚠️ ¿Reemplazar el PDF existente?","⚠️ Remplacer le PDF existant ?","⚠️ Viltu skipta út núverandi PDF skrá?","⚠️ Sostituire il PDF esistente?","⚠️ Erstatt eksisterende PDF?","⚠️ Zastąpić istniejący PDF?","⚠️ 替换现有的 PDF？"
,request_access_to_list,,"Request Access to List","Begär åtkomst till lista","Anmod om adgang til liste","Zugriff auf Liste anfordern","Solicitar acceso a la lista","Demander l’accès à la liste","Biðja um aðgang að lista","Richiedi accesso alla lista","Be om tilgang til liste","Poproś o dostęp do listy",请求访问列表
,reset_cache,,"Reload App","Ladda om app","Genindlæs app","App neu laden","Recargar la aplicación","Recharger l’application","Endurhlaða forriti","Ricarica l'app","Last appen på nytt","Przeładuj aplikację",重新加载应用
,role,,Role:,Roll:,Rolle:,Rolle:,Rol,"Rôle :",Hlutverk:,Ruolo:,Rolle:,Rola:,角色:
,save,,Save,Spara,Gem,Speichern,Guardar,Enregistrer,Vista,Salva,Lagre,Zapisz,保存
,search,,Search...,Sök...,Søg...,Suchen...,Buscar...,Rechercher...,Leita...,Cerca...,Søk...,Szukaj...,搜索...
,search_imslp,,"Search IMSLP","Sök IMSLP","Søg i IMSLP","In IMSLP suchen","Buscar en IMSLP","Chercher sur IMSLP","Leita á IMSLP","Cerca su IMSLP","Søk i IMSLP","Szukaj w IMSLP","搜索 IMSLP"
,select_file_to_upload,,"select a file to upload","välj en fil att ladda upp","vælg en fil til upload","Datei zum Hochladen auswählen","selecciona un archivo para subir","sélectionnez un fichier à téléverser","veldu skrá til að hlaða upp","seleziona un file da caricare","velg en fil å laste opp","wybierz plik do przesłania",选择要上传的文件
,select_item,,"Select item","Välj objekt","Vælg element","Element auswählen","Seleccionar elemento","Sélectionner un élément","Veldu skrá","Seleziona elemento","Velg element","Wybierz element",选择项目
,select_item_first,,"Please select an item first.","Vänligen välj ett objekt först.","Vælg venligst et element først.","Bitte wähle zuerst ein Element aus.","Primero selecciona un elemento.","Veuillez d’abord sélectionner un élément.","Veldu fyrst atriði","Seleziona prima un elemento.","Velg et element først.","Najpierw wybierz element.",请先选择一个项目。
,select_pdf,,"Select PDF","Välj PDF","Vælg PDF","PDF auswählen","Seleccionar PDF","Sélectionner un PDF","Velja PDF","Seleziona PDF","Velg PDF","Wybierz PDF","选择 PDF"
,send_invite,,"Send Invite","Skicka inbjudan","Send invitation","Einladung senden","Enviar invitación","Envoyer une invitation","Senda boð","Invia invito","Send invitasjon","Wyślij zaproszenie",发送邀请
,set_list_privacy,,"Set list privacy","Ställ in listans integritet","Indstil liste-privatliv","Privatsphäre der Liste festlegen","Establecer privacidad de la lista","Définir la confidentialité de la liste","Stilla aðgang að lista","Imposta privacy della lista","Sett listepersonvern","Ustaw prywatność listy",设置列表隐私
,settings,,Settings,Inställningar,Indstillinger,Einstellungen,Ajustes,Paramètres,Stillingar,Impostazioni,Innstillinger,Ustawienia,设置
,share_item,,"Share this item","Dela detta objekt","Del dette element","Diesen Eintrag teilen","Compartir este elemento","Partager cet élément","Deila skrá","Condividi questo elemento","Del dette elementet","Udostępnij element",分享此项目
,share_list,,"Share list","Dela lista","Del liste","Liste teilen","Compartir lista","Partager la liste","Deila lista","Condividi lista","Del liste","Udostępnij listę",分享列表
,storage,,Storage,Lagring,Lager,Speicher,Almacenamiento,Stockage,Gagnavistun,Archiviazione,Lagring,Pamięć,存储
,stories,,Stories,Berättelser,Historier,Geschichten,Historias,Histoires,Sögur,Storie,Historier,Historie,故事
,submit_request,,"Submit Request","Skicka förfrågan","Send anmodning","Anfrage senden","Enviar solicitud","Envoyer la demande","Senda beiðni","Invia richiesta","Send forespørsel","Wyślij prośbę",提交请求
,text_deleted,,"Text deleted","Text borttagen","Tekst slettet","Text gelöscht","Texto eliminado","Texte supprimé","Texta eytt","Testo eliminato","Tekst slettet","Tekst usunięty",文本已删除
,text_extracted,,"📄 Text extracted from PDF!","📄 Text extraherad från PDF!","📄 Tekst udtrukket fra PDF!","📄 Text aus PDF extrahiert!","📄 ¡Texto extraído del PDF!","📄 Texte extrait du PDF !","📄 Texti dreginn úr PDF skjali!","📄 Testo estratto dal PDF!","📄 Tekst hentet fra PDF!","📄 Tekst wyodrębniony z PDF!","📄 已从 PDF 提取文本！"
,text_saved,,"Text saved","Text sparad","Tekst gemt","Text gespeichert","Texto guardado","Texte enregistré","Texti vistaður","Testo salvato","Tekst lagret","Tekst zapisany",文本已保存
,timezone,,Timezone,Tidszon,Tidszone,Zeitzone,"Zona horaria","Fuseau horaire",Tímabelti,"Fuso orario",Tidssone,"Strefa czasowa",时区
,two_columns,,"Two columns","Två kolumner","To kolonner","Zwei Spalten","Dos columnas","Deux colonnes","Tveir dálkar","Due colonne","To kolonner","Dwie kolumny",双栏
,unread_chats,,"Unread Chats","Olästa chattar","Ulæste chats","Ungelesene Chats","Chats sin leer","Chats non lus","Ólesið spjall","Chat non lette","Uleste chatter","Nieprzeczytane czaty",未读聊天
,unsupported_file_type,,"❌ Unsupported file type.","❌ Filtypen stöds inte.","❌ Ikke-understøttet filtype.","❌ Nicht unterstützter Dateityp.","❌ Tipo de archivo no compatible.","❌ Type de fichier non pris en charge.","❌ Óstudd tegund skrár.","❌ Tipo di file non supportato.","❌ Filtypen støttes ikke.","❌ Nieobsługiwany typ pliku.","❌ 不支持的文件类型。"
,upload_from_device,,"Upload from your device","Ladda upp från din enhet","Upload fra din enhed","Vom Gerät hochladen","Subir desde tu dispositivo","Téléverser depuis votre appareil","Hlaða upp úr tækinu þínu","Carica dal dispositivo","Last opp fra enhet","Prześlij z urządzenia",从你的设备上传
,upload_from_url,,"Upload from URL","Ladda upp från URL","Upload fra URL","Von URL hochladen","Subir desde URL","Téléverser depuis une URL","Hlaða upp frá slóð","Carica da URL","Last opp fra URL","Prześlij z URL","从 URL 上传"
,user_id,,"User ID",Användar-ID,Bruger-ID,Benutzer-ID,"ID de usuario","ID utilisateur",Notandaauðkenni,"ID utente",Bruker-ID,"ID użytkownika",用户ID
,users,,Users,Användare,Brugere,Benutzer,Usuarios,Utilisateurs,Notendur,Utenti,Brukere,Użytkownicy,用户
,version,,Version,Version,Version,Version,Versión,Version,Útgáfa,Versione,Versjon,Wersja,版本
,yes,,Yes,Ja,Ja,Ja,Sí,Oui,Já,Sì,Ja,Tak,是
,zoom_text,,"Zoom text","Zooma text","Zoom tekst","Text zoomen","Ampliar texto","Zoom sur le texte","Þysja texta","Zoom testo","Zoom tekst","Powiększ tekst",缩放文字
,zoom_env,,"Zoom environment","Zooma miljö",Zoom-miljø,Zoom-Umgebung,"Entorno de Zoom","Environnement Zoom",Zoom-umhverfi,"Ambiente Zoom",Zoom-miljø,"Środowisko Zoom",Zoom环境
getFriendsLists.php,must_login,,"You must be logged in to view friends.","Du måste vara inloggad för att se vänner.","Du skal være logget ind for at se venner.","Du musst eingeloggt sein, um Freunde zu sehen.","Debes iniciar sesión para ver a tus amigos.","Vous devez être connecté pour voir vos amis.","Þú verður að skrá þig inn til að sjá vini.","Devi effettuare l’accesso per vedere gli amici.","Du må være logget inn for å se venner.","Musisz być zalogowany, aby zobaczyć znajomych.",您必须登录才能查看好友。
getFriendsLists.php,user_not_found,,"User not found","Användare hittades inte","Bruger ikke fundet","Benutzer nicht gefunden","Usuario no encontrado","Utilisateur non trouvé","Notandi fannst ekki","Utente non trovato","Bruker ikke funnet","Użytkownik nie znaleziony",未找到用户
getFriendsLists.php,no_lists,,"No connected lists found.","Inga anslutna listor hittades.","Ingen tilsluttede lister fundet.","Keine verbundenen Listen gefunden.","No se encontraron listas conectadas.","Aucune liste connectée trouvée.","Engir tengdir listar fundust.","Nessuna lista collegata trovata.","Ingen tilknyttede lister funnet.","Nie znaleziono połączonych list.",未找到关联的列表。
getFriendsLists.php,my_friends,,"My Friends","Mina vänner","Mine venner","Meine Freunde","Mis amigos","Mes amis","Vinir mínir","I miei amici","Mine venner","Moi znajomi",我的好友
getFriendsLists.php,lists_members,,"Lists Chat Members",Listchattmedlemmar,"Medlemmer i listechat",Listen-Chat-Mitglieder,"Miembros del chat de listas","Membres du chat des listes","Meðlimir í listaspjalli","Membri della chat delle liste",Listechat-medlemmer,"Członkowie czatu listy",列表聊天成员
getFriendsLists.php,avatar,,Avatar,Avatar,Avatar,Avatar,Avatar,Avatar,Auðkennismynd,Avatar,Avatar,Awatar,头像
JSDrawingPDF.js,your_annotation,,"Your annotation","Din anteckning","Din annotation","Deine Anmerkung","Tu anotación","Votre annotation","Athugasemd þín","La tua annotazione","Din merknad","Twoja adnotacja",您的注释
JSDrawingPDF.js,annotation_by,,Annotation,Anteckning,Annotation,Anmerkung,Anotación,Annotation,Athugasemd,Annotazione,Merknad,Adnotacja,注释
JSDrawingPDF.js,base_annotation,,Base,Bas,Grundlag,Basis,Base,Base,Grunnur,Base,Base,Baza,基础
JSDrawingPDF.js,select_item_first,,"Please select an item first.","Välj ett objekt först","Vælg venligst et element først.","Bitte wählen Sie zuerst ein Element aus.","Primero selecciona un elemento.","Veuillez d’abord sélectionner un élément.","Vinsamlegast veldu atriði fyrst.","Seleziona prima un elemento.","Vennligst velg et element først.","Wybierz najpierw element.",请先选择一个项目。
JSDrawingPDF.js,timeout,,Timeout,Timeout,Tidsudløb,Zeitüberschreitung,"Se agotó el tiempo","Délai dépassé","Tíminn rann út",Timeout,Tidsavbrudd,"Przekroczono limit czasu",超时
JSDrawingPDF.js,placeholder_search_imslp,,"Search IMSLP…","Sök IMSLP…","Søg IMSLP…","IMSLP durchsuchen…","Buscar en IMSLP…","Rechercher dans IMSLP…","Leita á IMSLP…","Cerca su IMSLP…","Søk i IMSLP…","Szukaj w IMSLP…","搜索 IMSLP…"
JSDrawingPDF.js,search,,Search,"Sök ",Søg,Suchen,Buscar,Rechercher,Leita,Cerca,Søk,Szukaj,搜索
JSDrawingPDF.js,upload_failed_unknown,,"Upload failed with unknown error.","Uppladdningen misslyckades med okänt fel.","Upload mislykkedes med ukendt fejl.","Hochladen fehlgeschlagen mit unbekanntem Fehler.","Error de carga desconocido.","Échec du téléchargement en raison d’une erreur inconnue.","Upphleðsla mistókst vegna óþekktrar villu.","Caricamento non riuscito per errore sconosciuto.","Opplasting mislyktes med ukjent feil.","Przesyłanie nie powiodło się z powodu nieznanego błędu.",上传失败，发生未知错误。
index.php,new,,New,Ny,Ny,Neu,Nuevo,Nouveau,Nýtt,Nuovo,Ny,Nowy,新建
index.php,save,,Save,Spara,Gem,Speichern,Guardar,Enregistrer,Vista,Salva,Lagre,Zapisz,保存
index.php,delete,,Delete,"Ta bort",Slet,Löschen,Eliminar,Supprimer,Eyða,Elimina,Slett,Usuń,删除
index.php,reload_annotations,,"Reload annotations","Ladda om anteckningar","Genindlæs annotationer","Anmerkungen neu laden","Recargar anotaciones","Recharger les annotations","Endurhlaða athugasemdir","Ricarica annotazioni","Last inn annotasjoner på nytt","Przeładuj adnotacje",重新加载批注
index.php,pen_color,,"Pen color",Pennfärg,Penfarve,Stiftfarbe,"Color del lápiz","Couleur du stylo",Pennslitur,"Colore penna",Pennfarge,"Kolor pióra",笔颜色
index.php,eraser,,Eraser,Suddgummi,Viskelæder,Radiergummi,Borrador,Gomme,Strokleður,Gomma,Viskelær,Gumka,橡皮擦
index.php,undo,,"Undo last annotation","Ångra senaste anteckning","Fortryd sidste annotation","Letzte Anmerkung rückgängig machen","Deshacer última anotación","Annuler la dernière annotation","Afturkalla síðustu athugasemd","Annulla ultima annotazione","Angre siste merknad","Cofnij ostatnią adnotację",撤销上一个批注
index.php,save_annotations,,"Save annotations","Spara anteckningar","Gem annotationer","Anmerkungen speichern","Guardar anotaciones","Enregistrer les annotations","Vista athugasemdir","Salva annotazioni","Lagre annotasjoner","Zapisz adnotacje",保存批注
index.php,clear_annotations,,"Clear all annotations","Rensa alla anteckningar","Ryd alle annotationer","Alle Anmerkungen löschen","Borrar todas las anotaciones","Supprimer toutes les annotations","Hreinsa allar athugasemdir","Cancella tutte le annotazioni","Slett alle annotasjoner","Usuń wszystkie adnotacje",清除所有批注
index.php,trim,,Trim,Trimma,Beskær,Zuschnitt,Recortar,Rogner,Sníða,Tagliare,Beskjær,Przytnij,裁剪
index.php,textarea_placeholder,,"Subject: (The title of your list item 😊)\n\nBody: (Write anything you like)\n\n#hashtag → Prevents the trimming of words.\n\nSpecial Tips: 📎\n- Paste a PDF or Soundslice link to activate footer buttons.\n- On desktop, you can drag and drop a PDF into the PDF tab.\n- On mobile, use the item menu → “Add PDF” to upload from your device.\n\n💡 Emoji Shortcut:\n- Windows: Press Windows + . (period)\n- Mac: Press Control + Command + Space","Ämne: (Titeln på ditt listobjekt 😊)\n\nBrödtext: (Skriv vad du vill)\n\n#hashtag → Förhindrar att ord trimmas.\n\nSpecialtips: 📎\n- Klistra in en PDF- eller Soundslice-länk för att aktivera sidfotsknappar.\n- På dator kan du dra och släppa en PDF i PDF-fliken.\n- På mobil, använd objektmenyn → “Lägg till PDF” för att ladda upp från din enhet.\n\n💡 Emoji-genväg:\n- Windows: Tryck Windows + . (punkt)\n- Mac: Tryck Control + Command + Space","Emne: (Titlen på dit listeelement 😊)\n\nBrødtekst: (Skriv hvad du vil)\n\n#hashtag → Forhindrer beskæring af ord.\n\nSpecielle tips: 📎\n- Indsæt et PDF- eller Soundslice-link for at aktivere knapper.\n- På desktop kan du trække og slippe en PDF i PDF-fanen.\n- På mobil skal du bruge elementmenuen → “Tilføj PDF”.\n\n💡 Emoji-genvej:\n- Windows: Tryk Windows + . (punktum)\n- Mac: Tryk Control + Command + Mellemrum","Thema: (Der Titel deines Listenelements 😊)\n\nTextkörper: (Schreibe, was du willst)\n\n#hashtag → Verhindert das Abschneiden von Wörtern.\n\nBesondere Tipps: 📎\n- Füge einen PDF- oder Soundslice-Link ein, um die Fußzeilenknöpfe zu aktivieren.\n- Auf dem Desktop kannst du eine PDF in den PDF-Tab ziehen.\n- Auf Mobilgeräten benutze das Element-Menü → „PDF hinzufügen“.\n\n💡 Emoji-Shortcut:\n- Windows: Windows + . (Punkt)\n- Mac: Steuerung + Befehl + Leertaste","Asunto: (El título de tu elemento de lista 😊)\n\nCuerpo: (Escribe lo que quieras)\n\n#hashtag → Evita el recorte de palabras.\n\nConsejos especiales: 📎\n- Pega un enlace de PDF o Soundslice para activar los botones de pie de página.\n- En escritorio, arrastra y suelta un PDF en la pestaña PDF.\n- En móvil, usa el menú de elementos → “Añadir PDF”.\n\n💡 Atajo de emoji:\n- Windows: Presiona Windows + . (punto)\n- Mac: Presiona Control + Command + Espacio","Sujet : (Le titre de votre élément de liste 😊)\n\nCorps : (Écrivez ce que vous voulez)\n\n#hashtag → Empêche la coupe des mots.\n\nConseils spéciaux : 📎\n- Collez un lien PDF ou Soundslice pour activer les boutons du pied de page.\n- Sur ordinateur, faites glisser_",,,,,
index.php,pen,,Pen,Penna,Pen,Stift,Bolígrafo,Stylo,Penni,Penna,Penn,Długopis,笔
index.php,eraser,,Eraser,Suddgummi,Viskelæder,Radiergummi,Goma,Gomme,Strokleður,Gomma,Viskelær,Gumka,橡皮擦
index.php,highlighter,,Highlighter,Överstrykningspenna,Overstregningstusch,Textmarker,"Rotulador fluorescente",Surligneur,Yfirstrikun,Evidenziatore,Markeringstusj,Zakreślacz,荧光笔
index.php,text,,Text,Text,Tekst,Text,Texto,Texte,Texti,Testo,Tekst,Tekst,文本
sub_migrate_files.php,already_migrated,,"✅ Already migrated","✅ Þegar flutt","✅ Redan migrerad","✅ Allerede migreret","✅ Bereits migriert","✅ Ya migrado","✅ Déjà migré","✅ Già migrato","✅ Allerede migrert","✅ Już przeniesiono","✅ 已迁移"
sub_migrate_files.php,pending,,Pending,"Í bið",Väntande,Afventer,Ausstehend,Pendiente,"En attente","In sospeso",Venter,Oczekujące,待处理
sub_migrate_files.php,cloudflare_only,,"☁️ Cloudflare only","☁️ Aðeins á Cloudflare","☁️ Endast Cloudflare","☁️ Kun Cloudflare","☁️ Nur Cloudflare","☁️ Solo en Cloudflare","☁️ Uniquement sur Cloudflare","☁️ Solo su Cloudflare","☁️ Kun på Cloudflare","☁️ Tylko w Cloudflare","☁️ 仅在 Cloudflare"
sub_migrate_files.php,unexpected,,"❌ Unexpected","❌ Óvænt","❌ Oväntat","❌ Uventet","❌ Unerwartet","❌ Inesperado","❌ Inattendu","❌ Inaspettato","❌ Uventet","❌ Nieoczekiwane","❌ 意外"
sub_migrate_files.php,migrate_files_cloudflare,,"Migrate files to Cloudflare","Flytja skrár á Cloudflare","Migrera filer till Cloudflare","Migrér filer til Cloudflare","Dateien zu Cloudflare migrieren","Migrar archivos a Cloudflare","Migrer des fichiers vers Cloudflare","Migrare file su Cloudflare","Migrer filer til Cloudflare","Migrować pliki do Cloudflare","将文件迁移到 Cloudflare"
sub_migrate_files.php,select_type,,"Select type","Veldu tegund","Välj typ","Vælg type","Typ auswählen","Seleccionar tipo","Sélectionner le type","Seleziona tipo","Velg type","Wybierz typ",选择类型
sub_migrate_files.php,scan,,"Scan files","Skanna skrár","Skanna filer","Scan filer","Dateien scannen","Escanear archivos","Scanner les fichiers","Scansiona file","Skann filer","Skanuj pliki",扫描文件
sub_migrate_files.php,surrogate,,Surrogate,Staðgengill,Surrogat,Surrogat,Stellvertreter,Sustituto,Substitut,Sostituto,Surrogat,Zastępnik,替代
sub_migrate_files.php,filename,,Filename,Skráarheiti,Filnamn,Filnavn,Dateiname,"Nombre de archivo","Nom de fichier","Nome file",Filnavn,"Nazwa pliku",文件名
sub_migrate_files.php,status,,Status,Staða,Status,Status,Status,Estado,Statut,Stato,Status,Status,状态
sub_migrate_files.php,cloudflare_line,,"Fast, reliable storage & playback via Cloudflare R2 integration","Hröð, örugg vistun og spilun með Cloudflare R2","Snabb, pålitlig lagring & uppspelning via Cloudflare R2","Hurtig, pålidelig lagring & afspilning via Cloudflare R2","Schnelle, zuverlässige Speicherung & Wiedergabe mit Cloudflare R2","Almacenamiento y reproducción rápidos y fiables con Cloudflare R2","Stockage et lecture rapides et fiables grâce à Cloudflare R2","Archiviazione e riproduzione veloce e affidabile con Cloudflare R2","Rask, pålitelig lagring og avspilling via Cloudflare R2","Szybkie, niezawodne przechowywanie i odtwarzanie przez Cloudflare R2","通过 Cloudflare R2 提供快速可靠的存储和播放"
includes/functions.php,greeting,,"Hello,","Hej,","Hej,","Hallo,","Hola,","Bonjour,","Halló,","Ciao,","Hei,","Witaj,",你好，
includes/functions.php,signature,,"– TextWhisper Team","– TextWhisper-teamet","– TextWhisper-teamet","– TextWhisper-team","– Equipo de TextWhisper","– Équipe TextWhisper","– TextWhisper teymið","– Team TextWhisper","– TextWhisper-teamet","– Zespół TextWhisper","– TextWhisper 团队"
includes/functions.php,invite_subject,,"You have been invited to a list on TextWhisper","Du har blivit inbjuden till en lista på TextWhisper","Du er blevet inviteret til en liste på TextWhisper","Du wurdest zu einer Liste auf TextWhisper eingeladen","Has sido invitado a una lista en TextWhisper","Vous avez été invité(e) à une liste sur TextWhisper","Þér hefur verið boðið í lista á TextWhisper","Sei stato invitato a una lista su TextWhisper","Du har blitt invitert til en liste på TextWhisper","Zostałeś zaproszony do listy w TextWhisper","您已被邀请加入 TextWhisper 上的一个列表"
includes/functions.php,invite_message,,"%s has invited you to the list %s with role: %s.","%s har bjudit in dig till listan %s med rollen: %s.","%s har inviteret dig til listen %s med rollen: %s.","%s hat dich zur Liste %s mit der Rolle %s eingeladen.","%s te ha invitado a la lista %s con el rol: %s.","%s vous a invité(e) à la liste %s avec le rôle : %s.","%s hefur boðið þér í listann %s með hlutverkið: %s.","%s ti ha invitato alla lista %s con il ruolo: %s.","%s har invitert deg til listen %s med rollen: %s.","%s zaprosił(a) Cię do listy %s z rolą: %s.","%s 邀请您加入列表 %s，角色：%s。"
includes/functions.php,invite_access,,"You can access it here:","Du kan komma åt den här:","Du kan få adgang til den her:","Du kannst hier darauf zugreifen:","Puedes acceder a ella aquí:","Vous pouvez y accéder ici :","Þú getur nálgast hann hér:","Puoi accedervi qui:","Du kan få tilgang her:","Możesz uzyskać do niej dostęp tutaj:",您可以在此访问：
includes/functions.php,invite_experience,,"For the best experience, please log in or register to start collaborating and unlock the full potential of TextWhisper.","För bästa upplevelse, logga in eller registrera dig för att börja samarbeta och utnyttja TextWhisper fullt ut.","For den bedste oplevelse, log ind eller registrer dig for at begynde at samarbejde og få det fulde udbytte af TextWhisper.","Für die beste Nutzungserfahrung melden Sie sich bitte an eller registrieren Sie sich, um zusammenzuarbeiten und das volle Potenzial von TextWhisper zu nutzen.","Para disfrutar de la mejor experiencia, inicia sesión o regístrate para empezar a colaborar y aprovechar todo el potencial de TextWhisper.","Pour une meilleure expérience, veuillez vous connecter ou vous inscrire afin de collaborer et profiter pleinement de tout le potentiel de TextWhisper.","Við mælum með að þú skráir þig inn til að fá sem besta upplifun og nýta TextWhisper til fulls.","Per la migliore esperienza, accedi o registrati per iniziare a collaborare e sfruttare appieno tutto il potenziale di TextWhisper.","For best opplevelse, logg inn eller registrer deg for å begynne å samarbeide og utnytte TextWhisper fullt ut.","Aby uzyskać najlepsze wrażenia, zaloguj się lub zarejestruj, aby rozpocząć współpracę i w pełni wykorzystać możliwości TextWhisper.","为获得最佳体验，请登录或注册以开始协作并充分发挥 TextWhisper 的全部潜力。"
reusable_ui,back_to_pdf,2026-03-05,"Back to PDF","Tillbaka till PDF","Tilbage til PDF","Zurück zu PDF","Volver a PDF","Retour au PDF","Til baka í PDF","Torna al PDF","Tilbake til PDF","Powrót do PDF","返回 PDF"
reusable_ui,open_player,2026-03-05,"Open player","Öppna spelare","Åbn afspiller","Player öffnen","Abrir reproductor","Ouvrir le lecteur","Opna spilara","Apri lettore","Åpne spiller","Otwórz odtwarzacz",打开播放器
reusable_ui,start,2026-03-05,Start,Start,Start,Start,Iniciar,Démarrer,Byrja,Avvia,Start,Start,开始
reusable_ui,stop,2026-03-05,Stop,Stopp,Stop,Stopp,Detener,Arrêter,Stöðva,Ferma,Stopp,Stop,停止
reusable_ui,invite,2026-03-05,Invite,"Bjud in",Inviter,Einladen,Invitar,Inviter,Bjóða,Invita,Inviter,Zaproś,邀请
reusable_ui,list,2026-03-05,List,Lista,Liste,Liste,Lista,Liste,Listi,Lista,Liste,Lista,列表
reusable_ui,token,2026-03-05,Token,Token,Token,Token,Token,Jeton,Tákn,Token,Token,Token,令牌
reusable_ui,browse,2026-03-05,Browse,Bläddra,Gennemse,Durchsuchen,Explorar,Parcourir,Fletta,Sfoglia,"Søk gjennom",Przeglądaj,浏览
reusable_ui,clear,2026-03-05,Clear,Rensa,Ryd,Löschen,Limpiar,Effacer,Hreinsa,Cancella,Tøm,Wyczyść,清除
reusable_ui,remove,2026-03-05,Remove,"Ta bort",Fjern,Entfernen,Quitar,Supprimer,Fjarlægja,Rimuovi,Fjern,Usuń,移除
reusable_ui,skipped,2026-03-05,Skipped,"Hoppad över","Sprunget over",Übersprungen,Omitido,Ignoré,Sleppt,Ytelatt,"Hoppet over",Pominięto,已跳过
reusable_ui,done,2026-03-05,Done,Klar,Færdig,Fertig,Hecho,Terminé,Lokið,Fatto,Ferdig,Gotowe,完成
reusable_ui,failed,2026-03-05,Failed,Misslyckades,Fejlede,Fehlgeschlagen,Falló,Échec,Mistókst,"Non riuscito",Feilet,Niepowodzenie,失败
reusable_ui,tutorials,2026-03-05,Tutorials,Guider,Vejledninger,Anleitungen,Tutoriales,Tutoriels,Leiðbeiningar,Tutorial,Tutorials,Poradniki,教程
reusable_ui,event_planner,2026-03-05,"Event planner",Händelseplanerare,Begivenhedsplanlægger,Ereignisplaner,"Planificador de eventos","Planificateur d'événements",Viðburðaskipulagning,"Pianificatore eventi",Hendelsesplanlegger,"Planer wydarzeń",活动规划
reusable_ui,current_profile,2026-03-05,"Current profile","Aktuell profil","Aktuel profil","Aktuelles Profil","Perfil actual","Profil actuel","Núverandi prófíll","Profilo attuale","Gjeldende profil","Aktualny profil",当前资料
reusable_ui,go_to_profile,2026-03-05,"Go to profile","Gå till profil","Gå til profil","Zum Profil gehen","Ir al perfil","Aller au profil","Fara á prófíl","Vai al profilo","Gå til profil","Przejdź do profilu",前往资料页
reusable_ui,chat,2026-03-05,Chat,Chatt,Chat,Chat,Chat,Chat,Spjall,Chat,Chat,Czat,聊天
reusable_ui,viewer,2026-03-05,Viewer,Läsare,Læser,Leser,Visualizador,Lecteur,Lesari,Visualizzatore,Leser,Podgląd,查看者
reusable_ui,commenter,2026-03-05,Commenter,Kommentator,Kommentator,Kommentator,Comentarista,Commentateur,Umsagnaraðili,Commentatore,Kommentator,Komentujący,评论者
reusable_ui,editor,2026-03-05,Editor,Redigerare,Redaktør,Editor,Editor,Éditeur,Ritstjóri,Editor,Redaktør,Edytor,编辑者
reusable_ui,back,2026-03-05,Back,Tillbaka,Tilbage,Zurück,Volver,Retour,"Til baka",Indietro,Tilbake,Wstecz,返回
reusable_ui,name,2026-03-05,Name,Namn,Navn,Name,Nombre,Nom,Nafn,Nome,Navn,Nazwa,名称
reusable_ui,add,2026-03-05,Add,"Lägg till",Tilføj,Hinzufügen,Añadir,Ajouter,"Bæta við",Aggiungi,"Legg til",Dodaj,添加
reusable_ui,pause,2026-03-05,Pause,Pausa,Pause,Pausieren,Pausar,Pause,"Gera hlé","Metti in pausa",Pause,Wstrzymaj,暂停
reusable_ui,leave,2026-03-05,Leave,Lämna,Forlad,Verlassen,Salir,Quitter,Fara,Esci,Forlat,Opuść,离开
reusable_ui,enter_valid_email,2026-03-05,"Please enter a valid email address","Ange en giltig e-postadress","Indtast en gyldig e-mailadresse","Bitte gib eine gültige E-Mail-Adresse ein","Introduce una dirección de correo válida","Veuillez saisir une adresse e-mail valide","Vinsamlegast sláðu inn gilt netfang","Inserisci un indirizzo email valido","Vennligst skriv inn en gyldig e-postadresse","Wprowadź prawidłowy adres e-mail",请输入有效的电子邮件地址
reusable_ui,invite_sent,2026-03-05,"Invite sent","Inbjudan skickad","Invitation sendt","Einladung gesendet","Invitación enviada","Invitation envoyée","Boð sent","Invito inviato","Invitasjon sendt","Zaproszenie wysłane",邀请已发送
reusable_ui,request_failed,2026-03-05,"Request failed","Begäran misslyckades","Anmodning mislykkedes","Anfrage fehlgeschlagen","La solicitud falló","La demande a échoué","Beiðni mistókst","Richiesta non riuscita","Forespørsel mislyktes","Żądanie nie powiodło się",请求失败
reusable_ui,error_loading_data,2026-03-05,"Error loading data","Fel vid inläsning av data","Fejl ved indlæsning af data","Fehler beim Laden der Daten","Error al cargar los datos","Erreur lors du chargement des données","Villa við að hlaða gögnum","Errore nel caricamento dei dati","Feil ved lasting av data","Błąd podczas ładowania danych",加载数据时出错
reusable_ui,delete_message,2026-03-05,"Delete message","Ta bort meddelande","Slet besked","Nachricht löschen","Eliminar mensaje","Supprimer le message","Eyða skilaboðum","Elimina messaggio","Slett melding","Usuń wiadomość",删除消息
reusable_ui,resume,2026-03-05,Resume,Återuppta,Fortsæt,Fortsetzen,Reanudar,Reprendre,"Halda áfram",Riprendi,Gjenoppta,Wznów,继续
reusable_ui,member,2026-03-05,Member,Medlem,Medlem,Mitglied,Miembro,Membre,Meðlimur,Membro,Medlem,Członek,成员
reusable_ui,you,2026-03-05,You,Du,Du,Du,Tú,Vous,Þú,Tu,Du,Ty,你
